"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Mikolas, Miles","571945","2023","860","674",0.282,0.289,-0.007000000000000006,0.454,0.495,-0.04099999999999998,0.33,0.353,-0.022999999999999965,"4.78","5.37","-0.587"
"Webb, Logan","657277","2023","850","619",0.248,0.253,-0.0050000000000000044,0.374,0.392,-0.018000000000000016,0.283,0.296,-0.013000000000000012,"3.25","3.63","-0.38"
"Gallen, Zac","668678","2023","846","574",0.238,0.253,-0.015000000000000013,0.382,0.426,-0.043999999999999984,0.289,0.315,-0.026000000000000023,"3.47","4.16","-0.689"
"Bassitt, Chris","605135","2023","826","569",0.235,0.241,-0.006000000000000005,0.403,0.402,0.0010000000000000009,0.304,0.31,-0.006000000000000005,"3.60","4.01","-0.41"
"Keller, Mitch","656605","2023","825","548",0.249,0.25,-0.0010000000000000009,0.404,0.4,0.0040000000000000036,0.31,0.314,-0.0040000000000000036,"4.21","4.13","0.084"
"Cole, Gerrit","543037","2023","821","543",0.206,0.231,-0.025000000000000022,0.322,0.377,-0.05499999999999999,0.256,0.289,-0.032999999999999974,"2.63","3.45","-0.823"
"Valdez, Framber","664285","2023","808","540",0.228,0.251,-0.022999999999999993,0.365,0.405,-0.040000000000000036,0.287,0.32,-0.03300000000000003,"3.46","4.30","-0.845"
"Lynn, Lance","458681","2023","808","540",0.259,0.251,0.008000000000000007,0.484,0.458,0.025999999999999968,0.347,0.337,0.009999999999999953,"5.73","4.83","0.903"
"Gibson, Kyle","502043","2023","807","589",0.27,0.267,0.0030000000000000027,0.437,0.438,-0.0010000000000000009,0.326,0.333,-0.007000000000000006,"4.73","4.70","0.034"
"Castillo, Luis","622491","2023","802","522",0.218,0.228,-0.010000000000000009,0.395,0.405,-0.010000000000000009,0.289,0.301,-0.01200000000000001,"3.33","3.77","-0.435"
"López, Pablo","641154","2023","801","509",0.238,0.213,0.024999999999999994,0.385,0.338,0.046999999999999986,0.294,0.269,0.024999999999999967,"3.67","2.98","0.685"
"Giolito, Lucas","608337","2023","794","507",0.24,0.239,0.0010000000000000009,0.482,0.442,0.03999999999999998,0.339,0.329,0.010000000000000009,"4.88","4.58","0.302"
"Nola, Aaron","605400","2023","793","545",0.24,0.241,-0.0010000000000000009,0.425,0.407,0.018000000000000016,0.303,0.3,0.0030000000000000027,"4.46","3.74","0.721"
"Corbin, Patrick","571578","2023","790","605",0.293,0.3,-0.007000000000000006,0.481,0.512,-0.031000000000000028,0.353,0.373,-0.020000000000000018,"5.20","6.12","-0.92"
"Wheeler, Zack","554430","2023","787","527",0.229,0.229,0,0.364,0.349,0.015000000000000013,0.277,0.278,-0.0010000000000000009,"3.61","3.18","0.429"
"Cease, Dylan","656302","2023","784","481",0.25,0.238,0.01200000000000001,0.405,0.376,0.029000000000000026,0.321,0.311,0.010000000000000009,"4.58","4.04","0.536"
"Burnes, Corbin","669203","2023","784","510",0.2,0.224,-0.023999999999999994,0.324,0.34,-0.016000000000000014,0.266,0.286,-0.019999999999999962,"3.39","3.38","0.012"
"Berríos, José","621244","2023","782","537",0.241,0.259,-0.018000000000000016,0.397,0.437,-0.03999999999999998,0.302,0.327,-0.025000000000000022,"3.65","4.51","-0.856"
"Oviedo, Johan","670912","2023","781","525",0.237,0.247,-0.010000000000000009,0.397,0.4,-0.0030000000000000027,0.319,0.329,-0.010000000000000009,"4.31","4.58","-0.274"
"Montgomery, Jordan","656756","2023","777","559",0.247,0.253,-0.006000000000000005,0.393,0.406,-0.013000000000000012,0.298,0.31,-0.01200000000000001,"3.20","4.01","-0.814"
"Gilbert, Logan","669302","2023","770","543",0.233,0.241,-0.00799999999999998,0.409,0.407,0.0020000000000000018,0.29,0.297,-0.007000000000000006,"3.73","3.66","0.069"
"Strider, Spencer","675911","2023","763","415",0.21,0.202,0.00799999999999998,0.355,0.338,0.01699999999999996,0.279,0.271,0.008000000000000007,"3.86","3.02","0.837"
"Gausman, Kevin","592332","2023","763","466",0.233,0.235,-0.001999999999999974,0.379,0.399,-0.020000000000000018,0.292,0.303,-0.01100000000000001,"3.16","3.82","-0.658"
"Alcantara, Sandy","645261","2023","762","557",0.251,0.262,-0.01100000000000001,0.391,0.413,-0.021999999999999964,0.301,0.319,-0.018000000000000016,"4.14","4.27","-0.127"
"Kirby, George","669923","2023","757","560",0.246,0.257,-0.01100000000000001,0.395,0.417,-0.021999999999999964,0.284,0.302,-0.018000000000000016,"3.35","3.79","-0.439"
"Gray, Sonny","543243","2023","754","510",0.226,0.243,-0.016999999999999987,0.319,0.364,-0.044999999999999984,0.27,0.297,-0.02699999999999997,"2.79","3.66","-0.872"
"Lyles, Jordan","543475","2023","748","575",0.255,0.264,-0.009000000000000008,0.501,0.481,0.020000000000000018,0.34,0.342,-0.0020000000000000018,"6.28","4.99","1.291"
